p,J_0,J_1,J_2,J_3,J_4,J_5
0.2975,4.4624999999999995,4.4624999999999995,4.4624999999999995,4.4624999999999995,4.4624999999999995,4.4624999999999995
0.3,4.5,4.5,4.5,4.5,4.5,4.5
0.3025,4.5375,4.5375,4.5375,4.5375,4.5375,4.5375
0.305,4.575,4.575,4.575,4.575,4.575,4.575
0.3075,4.6125,4.6125,4.6125,4.6125,4.6125,4.6125
0.31,4.65,4.65,4.65,4.65,4.65,4.65
0.3125,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875
0.315,4.725,4.725,4.725,4.725,4.725,4.725
0.3175,4.7625,4.7625,4.7625,4.7625,4.7625,4.7625
0.32,4.799249172074294,4.8,4.8,4.8,4.8,4.8
0.3225,4.817991985696759,4.8375,4.8375,4.8375,4.8375,4.8375
0.325,4.836298065957426,4.875,4.875,4.875,4.875,4.875
0.3275,4.854383138881056,4.911838578060139,4.9125000000000005,4.9125000000000005,4.9125000000000005,4.9125000000000005
0.33,4.872449605961247,4.9306113941527165,4.95,4.95,4.95,4.95
0.3325,4.890178169901215,4.949046644133684,4.987500000000001,4.987500000000001,4.987500000000001,4.987500000000001
0.335,4.907831631671058,4.967408129730568,5.025,5.025,5.025,5.025
0.3375,4.925551044398911,4.9858326293074136,5.0625,5.0625,5.0625,5.0625
0.34,4.942712553805949,5.003701259774537,5.1000000000000005,5.1000000000000005,5.1000000000000005,5.1000000000000005
0.3425,4.959671975255391,5.021318860162614,5.125154520880107,5.1375,5.1375,5.1375
0.34500000000000003,4.9766004616855675,5.038880933846667,5.143972125782421,5.175000000000001,5.175000000000001,5.175000000000001
0.34750000000000003,4.993384692265548,5.056296686091777,5.162640671483697,5.2125,5.2125,5.2125
0.35000000000000003,5.009802936192531,5.073336918870728,5.180779550617969,5.250000000000001,5.250000000000001,5.250000000000001
0.3525,5.025781431042661,5.089927697159321,5.1983137491899685,5.2875,5.2875,5.2875
0.355,5.041748897968998,5.106505035985383,5.215826519638447,5.324999999999999,5.324999999999999,5.324999999999999
0.3575,5.0576219092181445,5.122962108356959,5.233250422097878,5.3625,5.3625,5.3625
0.36,5.073271665048705,5.139145386074832,5.250442254448658,5.3999999999999995,5.3999999999999995,5.3999999999999995
0.3625,5.088374809785846,5.1547827506405755,5.267080587471314,5.4375,5.4375,5.4375
0.365,5.103506990303011,5.170444182562332,5.283737478852435,5.475,5.475,5.475
0.3675,5.118748017257312,5.186216158841697,5.300558104186375,5.499752046230171,5.5125,5.5125
0.37,5.133285208370558,5.20127833230095,5.316681220229664,5.517807588184091,5.55,5.55
0.3725,5.148110233950429,5.216692701311513,5.333146647095895,5.536187289592036,5.5875,5.5875
0.375,5.162675283870548,5.231853284312253,5.349364994562179,5.554338322788095,5.625,5.625
0.3775,5.176864601637853,5.246630534691673,5.365188001123388,5.572066605844723,5.6625,5.6625
0.38,5.19099880826548,5.261354635802886,5.3809606201249425,5.589774456102043,5.7,5.7
0.3825,5.204864164853498,5.2758224508537825,5.39646309312939,5.607194354842115,5.7375,5.7375
0.385,5.218789289536763,5.290331944651922,5.4120116234344,5.624646730698091,5.775,5.775
0.3875,5.2320925106843355,5.304214392549902,5.426966547267548,5.64151277339416,5.8125,5.8125
0.39,5.245688562626932,5.318382766824563,5.442179255215048,5.658590460592646,5.8500000000000005,5.8500000000000005
0.3925,5.259068532377204,5.332334337803309,5.457150878815307,5.675423600293263,5.8875,5.8875
0.395,5.2721616850354875,5.34599257996102,5.4718172555693805,5.691947581086266,5.925000000000001,5.925000000000001
0.3975,5.285467528250537,5.359871553357727,5.486721031347404,5.708727419441226,5.9625,5.9625
0.4,5.298257316154309,5.373217214269282,5.5010611462676025,5.724866237844315,6.0,6.0
0.4025,5.311041597292596,5.38655047199276,5.515375502964463,5.741010059770431,6.0375000000000005,6.0375000000000005
0.405,5.323083212280268,5.3991733637701,5.528998850898091,5.756528422071014,6.075,6.075
0.40750000000000003,5.33500760709148,5.411634976145282,5.542422214472745,5.771714597078338,6.112500000000001,6.112500000000001
0.41000000000000003,5.347479372387882,5.424659972477501,5.556416877194431,5.787496540226276,6.15,6.15
0.41250000000000003,5.359109678498899,5.436829366776741,5.569607952381196,5.802487278730893,6.187500000000001,6.187500000000001
0.41500000000000004,5.370677906309972,5.448929071401256,5.5826613648921,5.817289493448194,6.2250000000000005,6.2250000000000005
0.4175,5.3819807910672415,5.4606369091993825,5.594810067128825,5.831236154337655,6.262499999999999,6.262499999999999
0.42,5.3927189711559285,5.471670178023628,5.606514780346259,5.844668088566654,6.294660423723188,6.3
0.4225,5.403443808985376,5.48282209045678,5.618565764806327,5.85826105521322,6.311778475585386,6.3374999999999995
0.425,5.4139623814426585,5.493844209957943,5.630494236761414,5.871801356644082,6.328768552096759,6.375
0.4275,5.4246538428323845,5.505063821746664,5.642609432889873,5.8855806407533375,6.345899043321822,6.4125
0.43,5.4347021149372585,5.5156169591987245,5.6541593025853425,5.898844695907237,6.362557203452417,6.45
0.4325,5.445286113631747,5.526690432385398,5.66611572697846,5.91236301349712,6.380296501208377,6.4875
0.435,5.4556657456220945,5.537562436477386,5.677875374657258,5.92572673712526,6.398200412201206,6.525
0.4375,5.465783714830518,5.548161665999914,5.689344430277249,5.93877599057581,6.415719565078998,6.5625
0.44,5.475718521426612,5.5586039734390384,5.700648663316168,5.951793298542103,6.43216981474659,6.6
0.4425,5.484933430245957,5.568279015686889,5.7111554345694895,5.963769259407846,6.447331494514391,6.6375
0.445,5.494642625641085,5.578467694593787,5.722183374924841,5.976362728394846,6.463177362855677,6.675
0.4475,5.503697301337872,5.587982039176824,5.732598406122099,5.988343565581831,6.478462470440743,6.7125
0.45,5.512474656774432,5.597204262247117,5.742416398501835,5.999683605907305,6.492981736209258,6.75
0.4525,5.520713725242402,5.60556377479622,5.751063946426762,6.009843804569117,6.506502483663801,6.7875000000000005
0.455,5.528841875028793,5.614043046147544,5.760306042382459,6.02039274157878,6.520015963314743,6.825
0.4575,5.537054610248867,5.622721440992197,5.769763165395661,6.031278037589051,6.5340371378601905,6.862500000000001
0.46,5.54507228539725,5.631158153685645,5.779028437384512,6.041920769800301,6.547339171226486,6.9
0.4625,5.5529584054983765,5.639456152450451,5.788114809097157,6.052338049805078,6.561145239040995,6.9375
0.465,5.560945828359091,5.647860156856637,5.797276333945201,6.062937755181044,6.575631949644787,6.9750000000000005
0.4675,5.56890560082699,5.656223040301286,5.806374940464048,6.073320622661254,6.590518958765468,7.0125
0.47000000000000003,5.57631759544236,5.664066407716113,5.814936271774709,6.08329312723398,6.603463388691361,7.050000000000001
0.47250000000000003,5.583305404796391,5.671435727732315,5.823002421993721,6.092661399113489,6.615523769164278,7.0875
0.47500000000000003,5.590738394984552,5.679270356236419,5.831620606344522,6.1025086835875015,6.628118553492961,7.125000000000001
0.47750000000000004,5.597361902353988,5.686271031071825,5.839310482233441,6.111530677234028,6.640022349337521,7.1625000000000005
0.48,5.603545033366589,5.6926400454999735,5.845740050399798,6.119302663769403,6.650226632422301,7.199999999999999
0.4825,5.60968891808001,5.698932660410442,5.852564478208824,6.127209654213713,6.660530828998359,7.2375
0.485,5.615537931818495,5.7051215195750595,5.859381684912227,6.1350933702141734,6.6709330335257135,7.2749999999999995
0.4875,5.621452789667293,5.711425126676178,5.866312052172134,6.1432480267845015,6.681594289226221,7.3125
0.49,5.6273570812657105,5.717665333735767,5.873300554755864,6.15137755766414,6.692328886801838,7.35
0.4925,5.633083472420476,5.723716753369496,5.879949020666349,6.159111598841465,6.703516432330423,7.3875
0.495,5.638887081131077,5.729844254153827,5.886674879422327,6.166884123372799,6.715572680549134,7.425
0.4975,5.64432595014942,5.735636714949593,5.893036763425325,6.174410797229826,6.725404310734476,7.4625
0.5,5.648987895662364,5.740593115799799,5.898537897853734,6.180937885099433,6.734060332004749,7.5
0.5025000000000001,5.6543163096758295,5.746244845974504,5.904844095293098,6.188212608547821,6.743633406132071,7.5375000000000005
0.505,5.658675746602182,5.750888477456973,5.910013029134895,6.194420137556674,6.751959994812592,7.575
0.5075000000000001,5.662634976164502,5.754959404708888,5.91403151126903,6.199525545102842,6.758994107667742,7.612500000000001
0.51,5.6666217967270365,5.759019660530204,5.918475922965325,6.204787696996868,6.766054882987985,7.65
0.5125,5.6704132153465245,5.7630643126277965,5.922992852854767,6.210142557368933,6.773348832252883,7.687499999999999
0.515,5.67406671594259,5.767024859469083,5.927471739781145,6.215517382738766,6.780632474488849,7.7250000000000005
0.5175,5.677714777461803,5.770914055479281,5.931914739214771,6.2208054118504155,6.788004737672844,7.762499999999999
0.52,5.681410052817836,5.774846302993104,5.936289340004298,6.226003939873789,6.796112605985226,7.800000000000001
0.5225,5.684960713950895,5.77862383332431,5.940493904472991,6.230934562775653,6.804593441935699,7.8374999999999995
0.525,5.688087190820973,5.782019346121952,5.944295969165063,6.235630894864577,6.811092436392453,7.875
0.5275,5.6906138853339545,5.7847444498286436,5.947396423434978,6.239444700070685,6.816380084614719,7.9125
0.53,5.693600381031887,5.7879613365680305,5.951113686235686,6.243815619404155,6.82225626842262,7.95
0.5325,5.695859795786992,5.790414419258946,5.953932953140109,6.24738997398628,6.827523038655228,7.9875
0.535,5.697650354608683,5.792229737930471,5.955560185871231,6.249792483407848,6.831066586308465,8.025
0.5375,5.699353094621718,5.793925069906818,5.957469958752347,6.252206546510681,6.8347879733326655,8.0625
0.54,5.700941467351119,5.795669652130188,5.95951947981699,6.254793167533365,6.83879348680115,8.100000000000001
0.5425,5.702360065443504,5.797295135877667,5.961420194898936,6.257251170101843,6.8419976127435405,8.1375
0.545,5.70354876760756,5.798635366447281,5.96322786042369,6.259610998876703,6.845508423341346,8.175
0.5475,5.7052544454607625,5.800474586168763,5.965325301140746,6.26220241561778,6.85016789240252,8.2125
0.55,5.706442361497673,5.801802801905099,5.966926819654953,6.264337499094169,6.8558453813132925,8.25
0.5525,5.70747795285709,5.802946935246861,5.968289209597847,6.266112321143418,6.859029031313231,8.2875
0.555,5.707933530276481,5.803574331752893,5.969134046219359,6.2675123937123844,6.861584779334766,8.325000000000001
0.5575,5.708034932518928,5.803804960461972,5.969556763782744,6.268321660197449,6.863018512543511,8.3625
0.56,5.708503338929705,5.804353380008576,5.970405403550805,6.26940292551047,6.864746791491392,8.4
0.5625,5.708094280528076,5.804018297701944,5.970224540115801,6.269588819579519,6.865738609857275,8.4375
0.5650000000000001,5.707534291483249,5.803437422572682,5.969363348922137,6.269142395515312,6.865772344832559,8.475000000000001
0.5675,5.706579074592152,5.802382224735502,5.968281363625001,6.268274353232882,6.865281106812525,8.5125
0.5700000000000001,5.705521393097181,5.801310748861167,5.9672951953005295,6.267421097933141,6.864745993358495,8.55
0.5725,5.704762056250247,5.800664078586877,5.966741018526821,6.267075251001765,6.865256639383607,8.5875
0.5750000000000001,5.7032338769637025,5.799162215506672,5.965301690974614,6.2658058500515965,6.864164546939781,8.625000000000002
0.5775,5.70191627415611,5.7978648653177585,5.9642680588769785,6.264894149653526,6.863313340434772,8.6625
0.58,5.700502598894414,5.796462253995548,5.962905055085273,6.263620379997318,6.863312255359798,8.7
0.5825,5.699073631916813,5.795038895214771,5.961513896748185,6.262326637223898,6.86377014827252,8.7375
0.585,5.697124090875799,5.793071895594108,5.95953800261701,6.260315519087438,6.863038929227766,8.774999999999999
0.5875,5.695024368426907,5.790940794185144,5.957373043660019,6.258181995025765,6.860896368719487,8.8125
0.59,5.692513268147878,5.788484390263183,5.954906294117879,6.255861734561255,6.859046370475758,8.85
0.5925,5.689440633228235,5.7853523846888555,5.951687534804433,6.252490805800903,6.8551823163350845,8.887500000000001
0.595,5.6868211316931365,5.782726238030488,5.949000977547576,6.249714805169072,6.852078881765162,8.924999999999999
0.5975,5.683856869233358,5.779715513337064,5.946087156318508,6.246745137538108,6.84934015664392,8.9625
0.6,5.6802209132863135,5.775996452641952,5.942240746960198,6.242662685004049,6.844837725386296,9.0
0.6025,5.676566371121501,5.772250577721578,5.938134350669531,6.238493200716748,6.839984991121557,9.037500000000001
0.605,5.672202935879785,5.7676374896636196,5.933140970003911,6.233214624817405,6.834364745054976,9.075
0.6075,5.668120171967254,5.763409921294589,5.928728045141314,6.228554991266972,6.829036543661392,9.1125
0.61,5.663673875650012,5.758803349724366,5.923928839208667,6.223408033299304,6.823309896868964,9.15
0.6125,5.65897260550603,5.7539683824925865,5.918877118672409,6.217919636634977,6.817018602584878,9.1875
0.615,5.654508422630125,5.74946523412381,5.91416463967934,6.212906232916384,6.8114637600758465,9.225
0.6175,5.649343035497402,5.744151780492015,5.908603941922506,6.20698410393084,6.804599931308288,9.262500000000001
0.62,5.6440197247606,5.738681180752697,5.902885827860294,6.200816607810491,6.797743921496264,9.3
0.6225,5.638518827096068,5.7330236944344,5.897128532959726,6.194646656753826,6.790567939932807,9.3375
0.625,5.632869796954496,5.727198844018727,5.8910961016191585,6.188055247204934,6.7828094239857855,9.375
0.6275000000000001,5.627084701572046,5.72122724843183,5.8848106592953675,6.181227562265524,6.775305327329971,9.312499999999998
0.63,5.620833491103701,5.714777119490632,5.878024880556083,6.1738106673824555,6.766958311344303,9.25
0.6325000000000001,5.614939182537883,5.708684280430902,5.8715956365591,6.166808052481323,6.759233044200557,9.187499999999998
0.635,5.608224148555678,5.701746920816782,5.8642803247518005,6.158779829065537,6.750253764089581,9.125
0.6375000000000001,5.601441022788751,5.694748164085891,5.856915856885941,6.150862650870675,6.741415790094215,9.062499999999998
0.64,5.594669535982178,5.6877458045028435,5.849521035213426,6.142747969123519,6.7324862167960084,9.0
0.6425,5.587417420987125,5.680248910319369,5.841605993601962,6.134092120136076,6.722766366480078,8.937500000000002
0.645,5.579792337782968,5.6723692952847165,5.833290616355031,6.125001594401838,6.712533506138304,8.875
0.6475,5.571968645293223,5.664278228701258,5.824740922435159,6.115619057585897,6.701757837354418,8.8125
0.65,5.564207930576939,5.656241696104514,5.816230377859661,6.106253878763292,6.691032136480015,8.75
0.6525,5.5559056386549415,5.6476523026413705,5.807146518327102,6.0962810377930765,6.679291107615008,8.6875
0.655,5.547181331408532,5.63862964798808,5.797609013543362,6.085820169683264,6.666655082238375,8.625
0.6575,5.538247898136995,5.6293878282703504,5.787834180832012,6.075087690996801,6.653703824551531,8.5625
0.66,5.529282549090779,5.620105255008008,5.778002747066898,6.064268026600044,6.640573305168358,8.5
0.6625,5.519924485417944,5.610419048104085,5.76774804492637,6.0529802147512735,6.6268288081100515,8.4375
0.665,5.5100482038591245,5.600200919279581,5.756936052789658,6.041108333681061,6.61224625132426,8.375
0.6675,5.500246101914093,5.590044458725414,5.7461639208557145,6.0291192658359165,6.597704256663574,8.3125
0.67,5.490015602006223,5.579463996423279,5.734975879168161,6.0168618990621034,6.582925302556676,8.249999999999998
0.6725,5.479469506953825,5.568544537840452,5.723407975963676,6.0040867266229,6.567258066514962,8.1875
0.675,5.469086800295827,5.5577887342933865,5.7120034798432435,5.991529457151914,6.551808873228245,8.124999999999998
0.6775,5.45818773441522,5.546510702746727,5.700065448000248,5.978409369947533,6.536247635234069,8.0625
0.68,5.446905363156008,5.53482030288536,5.687367576265101,5.964371575027597,6.519905162169761,7.999999999999999
0.6825,5.435830160356435,5.52333559706373,5.675168958693361,5.950885087925582,6.503622168504743,7.9375
0.685,5.423979188410583,5.51095915033306,5.66207114140517,5.936281119809319,6.486510707299885,7.874999999999998
0.6875,5.412136927313778,5.498693738181654,5.649064036168779,5.9219616358113845,6.4694396174634035,7.8125
0.6900000000000001,5.400381951310458,5.486522763274875,5.636163984348164,5.907764683885646,6.45258798728747,7.749999999999998
0.6925,5.3881281911003605,5.473897668567457,5.62281190631474,5.892955320265787,6.43490953289397,7.6875
0.6950000000000001,5.375556812596746,5.460938577869347,5.609295584612985,5.877793867170715,6.417139997162305,7.624999999999998
0.6975,5.363096753141585,5.448027327513041,5.595592337527562,5.862667758506015,6.399034757397136,7.5625
0.7000000000000001,5.349176614706685,5.433620567707817,5.580109308105335,5.845567948411567,6.37854621249343,7.499999999999998
0.7025,5.336182851782201,5.420079826354354,5.5657056775499365,5.829582651825611,6.359694952796286,7.4375
0.705,5.322842153332769,5.406133841434343,5.550887970781791,5.813007264723501,6.3396418577976466,7.375000000000001
0.7075,5.308590302260202,5.391402116373679,5.535312008370067,5.79582015354377,6.31950299230773,7.3125
0.71,5.293249477050785,5.375544253243623,5.518544445539097,5.777315228825164,6.2950651867560214,7.250000000000001
0.7125,5.2783365898294585,5.3601139481469655,5.5020979639867384,5.759232034290073,6.272722465310207,7.187499999999999
0.715,5.263960016713439,5.345200047919694,5.486035007469226,5.741293175981952,6.2513918908038555,7.125000000000001
0.7175,5.248862877464512,5.329457936946899,5.4693688502722475,5.7228682462635865,6.229518497672462,7.062499999999999
0.72,5.2339167522142045,5.314087545683586,5.45320904936906,5.7049533376171455,6.207990592946314,7.000000000000001
0.7225,5.218397613913713,5.2980195477516085,5.436255478545195,5.68591944356922,6.18549079135506,6.937499999999999
0.725,5.20208236523745,5.28107019234779,5.418061394891081,5.665944076424297,6.1620017776191744,6.875000000000001
0.7275,5.185764178785057,5.264067668525321,5.400052233403318,5.645787747639018,6.13787806123191,6.812499999999999
0.73,5.168064682838874,5.245787854982769,5.380750708760413,5.624535032975843,6.110228906660106,6.75
0.7325,5.151362511353631,5.22848787214495,5.36207578423753,5.603920743176406,6.084982144837421,6.687499999999999
0.735,5.13444094273056,5.210865007685233,5.343435902043833,5.583238959273753,6.060707280764273,6.625
0.7375,5.1172600428119495,5.1931855441301,5.32491234815777,5.562541399064832,6.036256809714834,6.562499999999999
0.74,5.099248404941807,5.174482095666767,5.304858158417253,5.54039825796816,6.0099565530583865,6.5
0.7425,5.081573607622118,5.156084365795645,5.285389787076773,5.518675011416314,5.9841460855099955,6.437499999999999
0.745,5.062387375898729,5.136280344695938,5.2644967667973,5.4957130804427345,5.954319989002471,6.375
0.7475,5.043182668308329,5.116299786564925,5.243047536955805,5.47193871836389,5.926177795241889,6.312499999999998
0.75,5.025282230852945,5.097867286295629,5.2236446023644065,5.450512083765881,5.9005039346720265,6.25
